Title,AxialLength,TipLength,CurvatuerCorrected,Width,LWRatio,TailLength,TailPct,Shape,BodyLength,TailBodyRatio,Volume,diameter1,diameter2,diameter3,diameter4,diameter5,diameter6,diameter7,diameter8,diameter9,diameter10,diameter11,diameter12,diameter13,diameter14,diameter15,diameter16,diameter17,diameter18,diameter19,diameter20,diameter21,diameter22,diameter23,diameter24,diameter25,diameter26,diameter27,diameter28,diameter29,diameter30,diameter31,sdRad1,sdRad2,sdRad3,sdRad4,sdRad5,sdRad6,sdRad7,sdRad8,sdRad9,sdRad10,sdRad11,sdRad12,sdRad13,sdRad14,sdRad15,sdRad16,sdRad17,sdRad18,sdRad19,sdRad20,sdRad21,sdRad22,sdRad23,sdRad24,sdRad25,sdRad26,sdRad27,sdRad28,AverageCrossSectionRoundness
18NCGT0014HCR_Beauregard_G2_4001_NIR_V1_O2377.tif,6.60323851,6.09377574,1.124095343,1.850741952,2.976497616,0.410901886,0.062227328,U.S. No. 1,6.192336624,0.066356516,9.933092284,0,0,0.144956669,0.244948673,0.399127946,0.600594827,0.827197896,1.03126626,1.213225827,1.365741318,1.478971612,1.564341466,1.627738904,1.696214442,1.750066897,1.790508874,1.828791294,1.850741952,1.844801856,1.830404037,1.796210363,1.715886189,1.567966299,1.39144986,1.209186719,1.016720225,0.792288496,0.528337799,0.321769937,0.184178109,0,0.528999537,0.596498688,0.687329432,0.757888711,0.436418188,0.768007306,0.960140222,1.449316819,1.095028877,1.1096907,0.786028464,0.568761081,0.833762785,0.683417083,0.874231164,1.187944201,1.594483943,2.041382747,3.354164086,3.804182445,3.588049006,3.837366235,3.525945607,4.252956318,4.522010428,3.477610186,2.177427297,1.078488542,1.806340361
18NCGT0014HCR_Beauregard_G2_4001_NIR_V1_O2380.tif,5.119064431,4.807289756,1.099144158,1.129355591,3.436331783,0.853461256,0.166722116,U.S. No. 1,4.265603174,0.200079853,2.707039348,0,0,0.104006941,0.170788944,0.271888985,0.355717343,0.427717801,0.516863891,0.623486844,0.736404026,0.845697888,0.949168654,1.052038189,1.105400162,1.129096291,1.129355591,1.100759599,1.073584203,1.048690721,1.01712541,0.975232826,0.921645305,0.837283539,0.719978863,0.610742679,0.50509985,0.392841275,0.275398131,0.156072873,0.078383879,0,0.426043386,0.725649368,1.196646626,1.039929923,0.84657918,0.931555704,1.045541909,1.011062677,1.451342063,1.595907457,1.583481695,1.152474601,1.013726638,1.073665519,0.825986807,0.652555995,0.450683229,0.417486263,0.582737066,0.754750775,0.729532242,1.011868966,1.024670669,0.973311794,0.988225317,1.091579577,0.545358203,0.276618771,0.907820444
18NCGT0014HCR_Beauregard_G2_4001_NIR_V1_O2383.tif,5.252978061,5.075888657,1.098598578,1.383260917,3.068884041,0.589353101,0.112194092,Cull,4.66362496,0.126372319,4.051886277,0,0,0.181830541,0.259170734,0.374125203,0.487467557,0.570897126,0.65112546,0.731772135,0.805405071,0.876742935,0.937465967,0.987698393,1.042625072,1.116226952,1.193910691,1.253670303,1.289481035,1.334171312,1.375152051,1.383260917,1.347609896,1.256382946,1.091867734,0.885492996,0.651811307,0.398471279,0.236902679,0.143781387,0.085663901,0,0.600979149,0.685191966,0.945960798,1.155268863,1.262411198,1.239086343,1.325513153,1.395473505,1.318510479,0.814959908,0.547749531,0.565996094,0.577144515,0.634943145,0.468005954,0.269897894,0.574210373,0.682503567,0.847857651,1.193470745,1.460579059,1.181848608,1.375171622,2.093371525,0.852918671,0.286648574,0.177279727,0.175535417,0.882446001
18NCGT0014HCR_Beauregard_G2_5006_NIR_V1_O0260.tif,5.559894931,5.228261577,1.106816767,1.548861149,3.01746537,0.387037481,0.069612373,U.S. No. 1,5.17285745,0.074820829,6.09685672,0,0,0.078759663,0.150560153,0.257276762,0.380835322,0.505904054,0.655486995,0.825859236,0.973576656,1.087846909,1.176860623,1.248898507,1.321503994,1.395492678,1.450057085,1.478110648,1.489958354,1.51677023,1.546982288,1.548861149,1.511948095,1.437516488,1.340500251,1.222995833,1.086480635,0.963167192,0.817214936,0.52900527,0.270372204,0,0.196180302,0.379046182,0.496436726,0.451358743,0.638804317,1.673734639,1.815151128,1.629537904,1.442131811,1.548776943,1.574446418,1.498718896,1.497916417,0.823028264,0.447979792,0.620174117,0.947473561,1.385582273,1.743656,1.793382121,1.965526154,1.655875923,1.782976994,2.319159267,4.423387326,5.757004379,4.401777041,2.381559409,1.688956537
18NCGT0014HCR_Beauregard_G2_6003_NIR_V1_O0267.tif,4.630300984,4.510831978,1.068693625,1.494740766,2.739946051,0.253456561,0.054738679,U.S. No. 1,4.376844423,0.057908515,5.028625016,0,0,0.451219251,0.553689514,0.710460301,0.816687405,0.980083346,1.14801225,1.268137082,1.371829495,1.435350271,1.47062786,1.494740766,1.494240643,1.482818569,1.483329629,1.490370211,1.486066403,1.45124837,1.38015809,1.278090041,1.153842561,1.035944107,0.912175452,0.779939519,0.644174532,0.495662723,0.341978955,0.210289238,0.121699159,0,2.532147795,4.29146077,4.862467053,4.330937247,4.096009761,3.327225675,2.994542503,2.880112151,2.591982966,2.232831358,1.807128612,1.780623225,1.72663731,1.461746462,1.761197439,2.316758046,2.516026899,2.354033359,2.143879682,2.052300887,1.453204091,1.636534741,1.632882968,1.479650166,0.72547263,0.6761176,0.491354788,0.399267185,2.234090477
18NCGT0014HCR_Beauregard_G2_6003_NIR_V1_O0273.tif,5.367271427,5.209844097,1.085993544,1.693032905,2.609526838,0.569335875,0.106075477,Cull,4.797935553,0.118662677,6.869876238,0,0,0.084558915,0.140742766,0.224299146,0.314688976,0.395272258,0.590025147,0.910433256,1.142706767,1.337737208,1.494089913,1.587969801,1.661972087,1.693032905,1.686314104,1.665220805,1.627795569,1.581987785,1.526094325,1.456604639,1.366998449,1.265684062,1.14025882,1.008123631,0.871108711,0.712668319,0.524651189,0.341550186,0.214376992,0,0.119885336,0.169555748,0.362183312,0.332893479,0.371881196,1.775532456,3.142666887,2.669509703,1.708375425,1.279429648,1.52027359,1.903839703,1.07185078,0.487619699,0.245105219,0.346506921,0.46478784,0.834656978,1.442610457,1.426598326,1.338001703,1.45781086,1.437323963,2.139810167,2.071448598,1.893408032,1.312840329,1.041955889,1.227441509
18NCGT0014HCR_Beauregard_G2_6003_NIR_V1_O0292.tif,5.320374699,5.283033552,1.052158542,1.605601409,2.926983161,0.375683783,0.070612279,U.S. No. 1,4.944690916,0.075977202,6.470872137,0,0,0.131122444,0.235787085,0.391349059,0.553781431,0.723679138,0.893075126,1.064897148,1.21505176,1.338523753,1.457613323,1.546473717,1.589452268,1.605601409,1.590882405,1.541579165,1.492428758,1.4542223,1.403305229,1.353847269,1.290916238,1.203687137,1.082459326,0.945505165,0.802244042,0.657097216,0.492431541,0.335389533,0.223575173,0,0.654777266,0.844423616,1.276405575,1.009362898,0.918425347,0.551614657,0.616149707,0.543175507,0.656388286,1.178763956,0.969973696,1.206114234,0.897447828,0.715573746,0.415090337,0.235050442,0.700705251,0.541495531,0.712537728,0.760709424,0.3560481,0.585237146,0.586956817,0.619537629,1.009134056,1.344345877,1.393938299,1.372780098,0.809720109
18NCGT0014HCR_Beauregard_G2_6003_NIR_V1_O0308.tif,4.871798339,4.803102826,1.072613053,1.238013628,3.220541404,0.595210562,0.122174713,U.S. No. 1,4.276587777,0.139178848,3.425459295,0,0,0.11585751,0.196931335,0.323088441,0.468503757,0.633067973,0.801753901,0.961554104,1.096396242,1.139818177,1.164271783,1.190715717,1.221991663,1.238013628,1.229514845,1.189670498,1.135860134,1.088836847,1.042415731,0.984980034,0.923162491,0.857639718,0.77087073,0.67397116,0.576063238,0.469687579,0.343382374,0.204591865,0.109308566,0,0.419923355,0.74872706,1.358127588,1.513739798,1.622133758,1.542055674,1.581610345,1.553716077,1.15846238,1.143453824,0.53684628,0.574437051,0.761335081,0.581905331,0.776231629,0.60152017,0.417716733,0.299290966,0.466942448,0.580761151,0.65847799,0.854652561,0.984880126,1.234464322,1.443938491,1.534067138,0.895268641,0.537000598,0.942203092
18NCGT0014HCR_Beauregard_G2_6003_NIR_V1_O0319.tif,5.341076066,5.242221369,1.055685456,1.698111159,2.807090165,0.308886224,0.057832208,Cull,5.032189841,0.061382069,6.825963067,0,0,0.161170748,0.275575211,0.445391164,0.580171612,0.702170528,0.795276478,0.892936143,1.009547196,1.12051095,1.238137325,1.345398439,1.433131817,1.51699274,1.586708946,1.63198778,1.677943522,1.698111159,1.681148348,1.63189824,1.542521971,1.428540172,1.265819263,1.097755869,0.931044067,0.738833951,0.532499475,0.345112433,0.193856927,0,0.605510226,1.186488226,1.829029384,0.623090022,0.611858539,0.792769314,0.557217721,0.550320185,0.527151956,0.445849753,0.644105409,0.368316735,0.241825748,0.318217949,0.514658479,0.835223573,0.47304493,1.1575631,1.673556152,1.545299964,2.725021807,2.622442835,2.650228807,2.490671086,3.065138871,2.614975583,1.914275954,1.068154737,1.23757168
18NCGT0014HCR_Bellevue_G2_1001_NIR_V1_O1144.tif,5.790266749,5.521355453,1.083323075,1.746235176,2.937618798,0.233064984,0.040251165,U.S. No. 1,5.557201765,0.04193927,8.164874196,0,0,0.222326184,0.483628312,0.789040433,0.977907125,1.123551152,1.233954066,1.324024771,1.399441064,1.491490837,1.598997636,1.684819681,1.731500056,1.746235176,1.74039167,1.716590219,1.672752453,1.62925454,1.587942986,1.540441032,1.477874549,1.402381643,1.227218601,1.060598879,0.894605463,0.70964685,0.515817789,0.315279674,0.204234084,0,1.573759418,3.473931862,4.518824995,3.439072869,1.482922081,1.959698871,2.127633184,2.531168629,2.856969896,2.622784925,2.414401029,2.389066355,2.307711597,2.037182677,1.619964664,1.971188748,2.006202099,1.218078967,1.476480018,1.366406925,1.245856921,1.442386597,2.199677938,2.667958408,2.742026252,2.636100524,1.803759438,0.726488167,2.17348943
